                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.92387,                0.75326,                 1.0418,                0.82196,                 0.7638,                0.81846,                0.61925,                0.86748,                0.83272,                  1.022,              0.0018693,              0.0018693,              0.0018693
                     36,                0.97952,                 0.7638,                 1.0512,                0.89598,                0.81595,                0.88734,                0.66498,                0.83809,                0.75152,                0.99071,              0.0018654,              0.0018654,              0.0018654
                     37,                0.88214,                0.66942,                 1.0164,                0.93078,                0.86621,                0.91456,                0.68708,                0.85627,                0.65648,                 1.0096,              0.0018614,              0.0018614,              0.0018614
                     38,                0.92206,                0.73857,                 1.0191,                0.91335,                0.87305,                0.92081,                0.68757,                0.84912,                0.65048,                 0.9793,              0.0018574,              0.0018574,              0.0018574
                     39,                0.91856,                0.74026,                 1.0287,                0.89399,                0.85367,                  0.888,                 0.6693,                0.85333,                0.72839,                0.99128,              0.0018535,              0.0018535,              0.0018535
                     40,                0.91662,                0.69329,                 1.0137,                0.92746,                0.83436,                0.90984,                0.70686,                0.80846,                0.63679,                0.97532,              0.0018495,              0.0018495,              0.0018495
                     41,                0.90228,                0.70322,                0.99369,                0.91406,                0.80368,                0.89872,                  0.687,                0.83575,                 0.6384,                0.96746,              0.0018456,              0.0018456,              0.0018456
                     42,                0.93849,                0.70109,                 1.0214,                0.94764,                0.84356,                 0.9163,                0.70207,                0.81353,                0.58122,                0.96415,              0.0018416,              0.0018416,              0.0018416
                     43,                0.88243,                0.64854,                0.98618,                0.93093,                0.82687,                0.90763,                0.69041,                0.81644,                  0.586,                0.97899,              0.0018376,              0.0018376,              0.0018376
                     44,                0.88665,                0.65042,                0.99778,                0.95307,                0.84049,                0.92542,                0.69742,                0.80036,                0.59277,                0.95422,              0.0018337,              0.0018337,              0.0018337
                     45,                0.86637,                0.66447,                0.99845,                 0.9309,                0.86196,                0.91674,                0.70702,                0.79485,                0.60318,                 0.9565,              0.0018297,              0.0018297,              0.0018297
                     46,                0.84489,                0.62751,                0.99736,                0.94322,                0.87423,                0.93165,                0.71756,                 0.7971,                0.58357,                0.96347,              0.0018258,              0.0018258,              0.0018258
                     47,                0.90711,                0.64876,                 1.0219,                 0.9381,                0.90798,                0.93734,                 0.7218,                0.81394,                0.55774,                0.96317,              0.0018218,              0.0018218,              0.0018218
                     48,                0.84527,                0.62776,                 0.9914,                0.94014,                0.86713,                0.92697,                0.72313,                0.75892,                0.55397,                0.93735,              0.0018178,              0.0018178,              0.0018178
                     49,                0.85387,                0.63673,                0.98018,                0.93308,                0.89571,                0.93174,                0.72517,                0.76686,                 0.5979,                  0.942,              0.0018139,              0.0018139,              0.0018139
                     50,                 0.8055,                0.60372,                0.97528,                0.90847,                0.84969,                0.91273,                0.72105,                0.74358,                0.61707,                0.92998,              0.0018099,              0.0018099,              0.0018099
                     51,                0.80521,                0.65821,                0.97379,                0.93962,                0.86196,                0.92771,                0.72227,                0.74717,                0.56114,                0.93383,               0.001806,               0.001806,               0.001806
                     52,                 0.7858,                0.61164,                0.97741,                0.94355,                 0.8773,                0.93143,                0.71747,                0.77022,                0.54575,                0.94065,               0.001802,               0.001802,               0.001802
                     53,                 0.8807,                0.63858,                 1.0028,                0.92598,                0.92094,                0.93879,                0.74107,                0.73937,                0.51628,                0.92568,               0.001798,               0.001798,               0.001798
                     54,                0.85964,                0.60631,                0.99683,                0.87466,                0.85624,                0.90474,                0.70975,                0.75896,                0.56569,                 0.9409,              0.0017941,              0.0017941,              0.0017941
                     55,                0.86707,                0.61098,                0.99778,                 0.9082,                 0.8589,                0.91689,                 0.7214,                0.75455,                 0.6049,                 0.9414,              0.0017901,              0.0017901,              0.0017901
                     56,                0.81791,                0.58089,                 1.0026,                0.92502,                0.87035,                0.92471,                 0.7344,                0.73112,                0.60523,                0.93995,              0.0017862,              0.0017862,              0.0017862
                     57,                0.79373,                0.56075,                0.97666,                0.94921,                0.85988,                0.92697,                0.73178,                0.75799,                0.58591,                0.94099,              0.0017822,              0.0017822,              0.0017822
                     58,                 0.8287,                0.60517,                0.97733,                0.93012,                0.89264,                0.94095,                0.73222,                0.76734,                0.57027,                0.95133,              0.0017782,              0.0017782,              0.0017782
                     59,                0.78823,                0.57097,                0.96944,                0.93863,                0.89142,                  0.947,                 0.7525,                0.72401,                0.54128,                0.92956,              0.0017743,              0.0017743,              0.0017743
                     60,                0.82984,                0.58931,                0.99189,                 0.9428,                0.88957,                 0.9516,                0.75464,                0.74089,                0.57343,                0.94317,              0.0017703,              0.0017703,              0.0017703
                     61,                0.80267,                0.55761,                0.95938,                0.93859,                0.89081,                 0.9472,                0.75419,                 0.7174,                0.54475,                0.93499,              0.0017664,              0.0017664,              0.0017664
                     62,                0.84547,                0.58249,                0.97668,                0.92708,                0.92331,                0.94582,                 0.7497,                0.71465,                 0.4942,                0.92336,              0.0017624,              0.0017624,              0.0017624
